Date,Time,Open,High,Low,Close,Tick volume
2025.01.07,09:45:00,1.0377,1.03832,1.03766,1.03811,639
2025.01.07,10:00:00,1.03811,1.03853,1.03809,1.03829,438
2025.01.07,10:15:00,1.03828,1.03846,1.03821,1.03842,319
2025.01.07,10:30:00,1.03842,1.03842,1.03816,1.03826,410
2025.01.07,10:45:00,1.03826,1.03834,1.03799,1.03822,388
2025.01.07,11:00:00,1.03821,1.0383,1.038,1.03828,413
2025.01.07,11:15:00,1.03828,1.03855,1.03828,1.03855,274
2025.01.07,11:30:00,1.03855,1.03929,1.03855,1.03924,476
2025.01.07,11:45:00,1.03924,1.03928,1.039,1.03927,229
2025.01.07,12:00:00,1.03927,1.03933,1.03905,1.03907,234
2025.01.07,12:15:00,1.03907,1.03927,1.03905,1.03927,204
2025.01.07,12:30:00,1.03927,1.03943,1.03917,1.03928,256
2025.01.07,12:45:00,1.03928,1.03938,1.03913,1.03917,273
2025.01.07,13:00:00,1.03918,1.03935,1.03909,1.03932,281
2025.01.07,13:15:00,1.03933,1.03961,1.03932,1.03953,403
2025.01.07,13:30:00,1.03954,1.04031,1.03954,1.04024,581
2025.01.07,13:45:00,1.04024,1.04029,1.03959,1.03967,636
2025.01.07,14:00:00,1.03967,1.04041,1.03964,1.04018,603
2025.01.07,14:15:00,1.04017,1.04033,1.03984,1.04004,548
2025.01.07,14:30:00,1.04005,1.04024,1.03978,1.03987,630
2025.01.07,14:45:00,1.03988,1.03988,1.03963,1.03974,548
2025.01.07,15:00:00,1.03975,1.041,1.03975,1.0409,1052
2025.01.07,15:15:00,1.04092,1.04159,1.04068,1.04127,1061
2025.01.07,15:30:00,1.04127,1.04244,1.04104,1.04229,1447
2025.01.07,15:45:00,1.04231,1.04231,1.04093,1.04145,2110
2025.01.07,16:00:00,1.04147,1.04208,1.04102,1.04102,1770
2025.01.07,16:15:00,1.04102,1.0414,1.04031,1.04064,1481
2025.01.07,16:30:00,1.04063,1.04155,1.04053,1.04155,1465
2025.01.07,16:45:00,1.04156,1.04253,1.04136,1.0425,1195
2025.01.07,17:00:00,1.04252,1.04342,1.04244,1.04263,1717
2025.01.07,17:15:00,1.04264,1.04285,1.0424,1.04252,1080
2025.01.07,17:30:00,1.04251,1.043,1.04246,1.04281,1100
2025.01.07,17:45:00,1.0428,1.04296,1.04241,1.04274,912
2025.01.07,18:00:00,1.04274,1.04302,1.04166,1.04275,1983
2025.01.07,18:15:00,1.04275,1.04343,1.04226,1.04229,1284
2025.01.07,18:30:00,1.0423,1.04264,1.04208,1.04262,1075
2025.01.07,18:45:00,1.04262,1.04341,1.04242,1.04278,985
2025.01.07,19:00:00,1.04278,1.04282,1.04189,1.04202,1197
2025.01.07,19:15:00,1.04202,1.04207,1.04092,1.04093,1134
2025.01.07,19:30:00,1.04092,1.04113,1.04051,1.04109,1080
2025.01.07,19:45:00,1.04111,1.04148,1.04087,1.04133,820
2025.01.07,20:00:00,1.04134,1.04168,1.04088,1.04097,1072
2025.01.07,20:15:00,1.04097,1.04126,1.04038,1.04053,1200
2025.01.07,20:30:00,1.04053,1.0406,1.0392,1.03941,1409
2025.01.07,20:45:00,1.03941,1.03988,1.03871,1.03892,2406
2025.01.07,21:00:00,1.03891,1.03976,1.03884,1.03964,1386
2025.01.07,21:15:00,1.03965,1.04038,1.03935,1.04013,1435
2025.01.07,21:30:00,1.04014,1.04052,1.03952,1.03956,1413
2025.01.07,21:45:00,1.03957,1.03969,1.03866,1.03965,1524
2025.01.07,22:00:00,1.03965,1.03969,1.03899,1.039,1887
2025.01.07,22:15:00,1.039,1.03967,1.03892,1.03954,1601
2025.01.07,22:30:00,1.03953,1.03971,1.0391,1.03925,1927
2025.01.07,22:45:00,1.03926,1.03975,1.03911,1.03925,1708
2025.01.07,23:00:00,1.03929,1.03929,1.03587,1.03681,4626
2025.01.07,23:15:00,1.03679,1.03804,1.03649,1.03791,3238
2025.01.07,23:30:00,1.03792,1.03806,1.03633,1.03638,3157
2025.01.07,23:45:00,1.03637,1.03733,1.03551,1.03727,3796
2025.01.08,00:00:00,1.03727,1.03749,1.03644,1.03645,2751
2025.01.08,00:15:00,1.03646,1.03728,1.03636,1.03662,1785
2025.01.08,00:30:00,1.03661,1.03811,1.03625,1.0376,2865
2025.01.08,00:45:00,1.03761,1.03772,1.03631,1.03681,1926
2025.01.08,01:00:00,1.03681,1.03723,1.03615,1.0363,1764
2025.01.08,01:15:00,1.0363,1.03735,1.03537,1.0369,2242
2025.01.08,01:30:00,1.0369,1.03738,1.03642,1.03651,1420
2025.01.08,01:45:00,1.03651,1.03689,1.03615,1.03667,1093
2025.01.08,02:00:00,1.03666,1.03692,1.03565,1.03601,1207
2025.01.08,02:15:00,1.03602,1.03685,1.03596,1.0361,1095
2025.01.08,02:30:00,1.0361,1.0361,1.03517,1.03521,1002
2025.01.08,02:45:00,1.0352,1.03554,1.03493,1.03543,857
2025.01.08,03:00:00,1.03543,1.03587,1.03527,1.03549,929
2025.01.08,03:15:00,1.0355,1.03575,1.0352,1.03575,600
2025.01.08,03:30:00,1.03575,1.03588,1.03532,1.03587,856
2025.01.08,03:45:00,1.03587,1.03596,1.03537,1.03551,731
2025.01.08,04:00:00,1.0355,1.0356,1.03485,1.03502,702
2025.01.08,04:15:00,1.03503,1.03506,1.03465,1.03475,591
2025.01.08,04:30:00,1.03476,1.0348,1.03449,1.03457,814
2025.01.08,04:45:00,1.03456,1.03478,1.0344,1.03443,551
2025.01.08,05:00:00,1.03443,1.03443,1.03406,1.03427,260
2025.01.08,05:15:00,1.03426,1.03432,1.03407,1.03431,244
2025.01.08,05:30:00,1.03432,1.03434,1.03403,1.03405,269
2025.01.08,05:45:00,1.03405,1.03416,1.03394,1.03394,475
2025.01.08,06:00:00,1.03395,1.03416,1.03388,1.03408,169
